Exercise,DifficultyLevel,TargetMuscleGroup,PrimaryEquipment,#PrimaryItems,SecondaryEquipment,#SecondaryItems,BodyRegion,ForceType,PrimaryExerciseClassification
Ab Wheel Kneeling Rollout,Novice,Abdominals,Ab Wheel,1.0,,0.0,Midsection,Other,Unsorted*
Cable Seated Crunch,Novice,Abdominals,Cable,1.0,Bench (Flat),1.0,Midsection,Other,Unsorted*
Cable Kneeling Crunch,Novice,Abdominals,Cable,1.0,,0.0,Midsection,Other,Unsorted*
Medicine Ball V Up,Novice,Abdominals,Medicine Ball,1.0,,0.0,Midsection,Other,Unsorted*
Suspension Knee Tuck,Novice,Abdominals,Suspension Trainer,1.0,,0.0,Midsection,Other,Unsorted*
Suspension Lateral Knee Tuck,Intermediate,Abdominals,Suspension Trainer,1.0,,0.0,Midsection,Other,Unsorted*
Suspension Archer Row,Novice,Shoulders,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Unsorted*
Single Arm Dumbbell Turkish Get Up,Intermediate,Abdominals,Dumbbell,1.0,,0.0,Full Body,Other,Grinds
Bodyweight Bear Crawl,Novice,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Animal Flow
Stability Ball Knee Tuck,Novice,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Ring Hanging Leg Raise,Advanced,Abdominals,Gymnastic Rings,2.0,,0.0,Midsection,Other,Calisthenics
Parallette L Sit,Advanced,Abdominals,Parallette Bars,2.0,,0.0,Midsection,Other,Calisthenics
Bodyweight Standing Walkout Plank,Intermediate,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Calisthenics
Ring Eccentric Pull Up,Novice,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Barbell Climb,Expert,Abdominals,Barbell,1.0,,0.0,Midsection,Other,Calisthenics
Bodyweight Ipsilateral Bird Dog,Advanced,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Copenhagen Plank Knee to Elbow,Advanced,Adductors,Bodyweight,1.0,Bench (Flat),1.0,Lower Body,Other,Unsorted*
Ring Eccentric Chin Up,Novice,Biceps,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Single Arm Dumbbell Seated Shoulder External Rotation,Novice,Shoulders,Dumbbell,1.0,Bench (Flat),1.0,Upper Body,Pull,Unsorted*
Double Dumbbell Seated Cuban Rotation,Novice,Shoulders,Dumbbell,2.0,Bench (Flat),1.0,Upper Body,Pull,Unsorted*
Double Dumbbell Standing Cuban Rotation,Novice,Shoulders,Dumbbell,2.0,,0.0,Upper Body,Pull,Unsorted*
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Novice,Shoulders,Cable,1.0,,0.0,Upper Body,Pull,Unsorted*
Miniband Fire Hydrant,Beginner,Glutes,Miniband,1.0,,0.0,Lower Body,Other,Bodybuilding
Medicine Ball Russian Twist,Novice,Abdominals,Medicine Ball,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Side Plank,Novice,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Calisthenics
Cable Reverse Crunch,Intermediate,Abdominals,Cable,1.0,,0.0,Midsection,Other,Unsorted*
Cable Rope Half Kneeling High to Low Chop,Intermediate,Abdominals,Cable,1.0,,0.0,Midsection,Other,Unsorted*
Cable Rope Half Kneeling Low to High Chop,Intermediate,Abdominals,Cable,1.0,,0.0,Midsection,Other,Unsorted*
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Advanced,Quadriceps,Sliders,1.0,Kettlebell,2.0,Lower Body,Other,Bodybuilding
Cable Rope Staggered Stance High to Low Chop,Intermediate,Abdominals,Cable,1.0,,0.0,Midsection,Other,Unsorted*
Cable Rope Staggered Stance Low to High Chop,Intermediate,Abdominals,Cable,1.0,,0.0,Midsection,Other,Unsorted*
Single Arm Dumbbell Windmill,Intermediate,Abdominals,Dumbbell,1.0,,0.0,Midsection,Other,Unsorted*
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Quadriceps,Sliders,1.0,Kettlebell,2.0,Lower Body,Other,Bodybuilding
Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,2.0,Lower Body,Other,Bodybuilding
Bodyweight Feet On Wall Mountain Climber,Advanced,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Calisthenics
Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,2.0,Lower Body,Push,Bodybuilding
Bodyweight Hollow Body Hold,Novice,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Unsorted*
Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Dumbbell,1.0,,0.0,Midsection,Other,Unsorted*
Bar Inverted Hanging Crunch,Expert,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Inverted Hanging Oblique Crunch,Expert,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Unsorted*
Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,2.0,Lower Body,Push,Bodybuilding
Bodyweight Supine Alternating Single Leg Raise,Beginner,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Supine Leg Raise,Novice,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Unsorted*
Miniband Bicycle Crunch,Novice,Abdominals,Miniband,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Side Plank Reach Through,Novice,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Calisthenics
Bodyweight Sit Up,Novice,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Butterfly Sit Up,Novice,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Unsorted*
Slider Mountain Climber,Novice,Abdominals,Sliders,2.0,,0.0,Midsection,Other,Unsorted*
Slider Pike,Advanced,Abdominals,Sliders,2.0,,0.0,Midsection,Other,Unsorted*
Stability Ball Pike,Advanced,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Slider Wide Mountain Climber,Intermediate,Abdominals,Sliders,2.0,,0.0,Midsection,Other,Unsorted*
Stability Ball Crunch,Beginner,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Stability Ball Feet Elevated Oblique Crunch,Beginner,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Stability Ball Kneeling Rollout,Beginner,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Stability Ball Single Leg Knee Tuck,Advanced,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Stability Ball Single Leg Pike,Expert,Abdominals,Stability Ball,1.0,,0.0,Midsection,Other,Unsorted*
Double Dumbbell Z Press,Novice,Shoulders,Dumbbell,2.0,,0.0,Upper Body,Push,Bodybuilding
Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Sliders,1.0,Kettlebell,2.0,Lower Body,Push,Bodybuilding
Double Dumbbell Romanian Deadlift,Beginner,Hamstrings,Dumbbell,2.0,,0.0,Lower Body,Pull,Bodybuilding
Single Arm Dumbbell Side Plank,Intermediate,Abdominals,Dumbbell,1.0,,0.0,Midsection,Other,Unsorted*
Bodyweight Single Leg Glute Bridge,Novice,Glutes,Bodyweight,1.0,,0.0,Lower Body,Unsorted*,Bodybuilding
Dumbbell Glute Bridge,Beginner,Glutes,Dumbbell,1.0,,0.0,Lower Body,Unsorted*,Bodybuilding
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Glutes,Bodyweight,1.0,,0.0,Lower Body,Unsorted*,Bodybuilding
Miniband Side Lying Clamshell,Beginner,Glutes,Miniband,1.0,,0.0,Lower Body,Other,Bodybuilding
Miniband Ankle Side Lying Hip Abduction,Beginner,Abductors,Miniband,1.0,,0.0,Lower Body,Other,Bodybuilding
Miniband Bench Seated Hip Abduction,Beginner,Abductors,Miniband,1.0,Bench (Flat),1.0,Lower Body,Other,Bodybuilding
Miniband Glute Bridge with Hip Abduction,Beginner,Glutes,Miniband,1.0,,0.0,Lower Body,Other,Bodybuilding
Stability Ball Hip Thrust,Beginner,Glutes,Stability Ball,1.0,,0.0,Lower Body,Unsorted*,Bodybuilding
Stability Ball Dumbbell Hip Thrust,Beginner,Glutes,Stability Ball,1.0,Dumbbell,1.0,Lower Body,Unsorted*,Bodybuilding
Bodyweight Frog Pump,Beginner,Glutes,Bodyweight,1.0,,0.0,Lower Body,Unsorted*,Unsorted*
Dumbbell Frog Pump,Beginner,Glutes,Dumbbell,1.0,,0.0,Lower Body,Unsorted*,Unsorted*
Cable Glute Kickback,Novice,Glutes,Cable,1.0,,0.0,Lower Body,Unsorted*,Bodybuilding
Bodyweight Single Leg Foot Elevated Glute Bridge,Novice,Glutes,Bodyweight,1.0,,0.0,Lower Body,Unsorted*,Bodybuilding
Suspension Feet Elevated Glute Bridge,Novice,Glutes,Suspension Trainer,1.0,,0.0,Lower Body,Unsorted*,Bodybuilding
Miniband Thigh Lateral Walk,Beginner,Abductors,Miniband,1.0,,0.0,Lower Body,Other,Bodybuilding
Miniband Ankle Lateral Walk,Novice,Abductors,Miniband,1.0,,0.0,Lower Body,Other,Bodybuilding
Miniband Feet Lateral Walk,Intermediate,Abductors,Miniband,1.0,,0.0,Lower Body,Other,Bodybuilding
Miniband Standing Glute Kickback,Novice,Glutes,Miniband,1.0,,0.0,Lower Body,Unsorted*,Bodybuilding
Barbell Hip Thrust,Novice,Glutes,Barbell,1.0,Bench (Flat),1.0,Lower Body,Unsorted*,Bodybuilding
Barbell Single Leg Hip Thrust,Intermediate,Glutes,Barbell,1.0,Bench (Flat),1.0,Lower Body,Unsorted*,Bodybuilding
Stability Ball Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Stability Ball,1.0,,0.0,Lower Body,Unsorted*,Bodybuilding
Miniband Standing Hip Abduction,Novice,Abductors,Miniband,1.0,,0.0,Lower Body,Other,Bodybuilding
Miniband 3 Way Cha Cha,Beginner,Abductors,Miniband,1.0,,0.0,Lower Body,Other,Bodybuilding
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Cable Hip Abduction,Novice,Abductors,Cable,1.0,,0.0,Lower Body,Other,Unsorted*
Miniband Wall Sit Hip Abduction,Novice,Quadriceps,Miniband,1.0,,0.0,Lower Body,Other,Unsorted*
Slider Barbell Overhead Lateral Lunge,Advanced,Quadriceps,Sliders,1.0,Barbell,1.0,Lower Body,Other,Bodybuilding
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Novice,Shoulders,Dumbbell,1.0,,0.0,Upper Body,Push,Bodybuilding
Barbell Shrug,Novice,Trapezius,Barbell,1.0,,0.0,Upper Body,Pull,Bodybuilding
Cable Face Pull,Novice,Shoulders,Cable,1.0,,0.0,Upper Body,Pull,Unsorted*
Cable Seated Face Pull,Novice,Shoulders,Cable,1.0,,0.0,Upper Body,Pull,Unsorted*
Cable Guillotine Curl,Novice,Biceps,Cable,1.0,,0.0,Upper Body,Pull,Bodybuilding
Cable Supine Bicep Curl,Novice,Biceps,Cable,1.0,,0.0,Upper Body,Pull,Bodybuilding
Cable Straight Bar High Bicep Curl,Novice,Biceps,Cable,1.0,,0.0,Upper Body,Pull,Bodybuilding
Double Dumbbell Spider Curl,Novice,Biceps,Dumbbell,2.0,Bench (Incline),1.0,Upper Body,Pull,Bodybuilding
EZ Bar Spider Curl,Novice,Biceps,EZ Bar,1.0,Bench (Incline),1.0,Upper Body,Pull,Bodybuilding
Stability Ball Cable Preacher Curl,Novice,Biceps,Stability Ball,1.0,Cable,1.0,Upper Body,Pull,Bodybuilding
Single Arm Dumbbell Standing Concentration Curl,Novice,Biceps,Dumbbell,1.0,,0.0,Upper Body,Pull,Bodybuilding
EZ Bar Wide Grip Bicep Curl,Novice,Biceps,EZ Bar,1.0,,0.0,Upper Body,Pull,Bodybuilding
Single Arm Cable Standing High Bicep Curl,Novice,Biceps,Cable,1.0,,0.0,Upper Body,Pull,Bodybuilding
EZ Bar Seated Overhead Tricep Extension,Novice,Triceps,EZ Bar,1.0,Bench (Flat),1.0,Upper Body,Push,Bodybuilding
EZ Bar Standing Overhead Tricep Extension,Novice,Triceps,EZ Bar,1.0,,0.0,Upper Body,Push,Bodybuilding
Barbell Thruster,Intermediate,Quadriceps,Barbell,1.0,,0.0,Full Body,Push,Bodybuilding
Bodyweight Diamond Push Up,Novice,Triceps,Bodyweight,1.0,,0.0,Upper Body,Push,Calisthenics
EZ Bar Lying Tricep Extension,Novice,Triceps,EZ Bar,1.0,Bench (Flat),1.0,Upper Body,Push,Bodybuilding
Cable Rope Overhead Tricep Extension,Novice,Triceps,Cable,1.0,,0.0,Upper Body,Push,Bodybuilding
Single Arm Cable Reverse Grip Tricep Pushdown,Novice,Triceps,Cable,1.0,,0.0,Upper Body,Push,Bodybuilding
EZ Bar Reverse Grip Bicep Curl,Novice,Forearms,EZ Bar,1.0,,0.0,Upper Body,Pull,Bodybuilding
Stability Ball Single Arm Dumbbell Chest Press,Novice,Chest,Dumbbell,1.0,,0.0,Upper Body,Push,Bodybuilding
Suspension Face Pull,Novice,Shoulders,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Unsorted*
Landmine V Grip Row,Novice,Back,Landmine,1.0,,0.0,Upper Body,Pull,Bodybuilding
Double Dumbbell Thruster,Novice,Quadriceps,Dumbbell,2.0,,0.0,Full Body,Push,Bodybuilding
Single Arm Dumbbell Thruster,Novice,Quadriceps,Dumbbell,1.0,,0.0,Full Body,Push,Bodybuilding
Single Arm Landmine Row,Novice,Back,Landmine,1.0,,0.0,Upper Body,Pull,Bodybuilding
Superband Assisted Bar Wide Grip Pull Up,Novice,Back,Superband,1.0,Pull Up Bar,1.0,Upper Body,Pull,Calisthenics
Stability Ball Prone Cobra,Novice,Back,Stability Ball,1.0,,0.0,Upper Body,Unsorted*,Postural
Single Arm Dumbbell Overhead Carry,Intermediate,Shoulders,Dumbbell,1.0,,0.0,Full Body,Other,Unsorted*
Double Dumbbell Pendlay Row,Novice,Back,Dumbbell,2.0,,0.0,Upper Body,Pull,Bodybuilding
Cable Straight Bar Pullover,Novice,Back,Cable,1.0,,0.0,Upper Body,Pull,Bodybuilding
Single Arm Cable Half Kneeling Lat Pulldown,Novice,Back,Cable,1.0,,0.0,Upper Body,Pull,Bodybuilding
Single Arm Cable Half Kneeling Low Row,Novice,Back,Cable,1.0,,0.0,Upper Body,Pull,Bodybuilding
Single Arm Suspension Low Row,Novice,Back,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Unsorted*
Double Dumbbell Incline Bench Prone Row,Novice,Back,Dumbbell,2.0,Bench (Incline),1.0,Upper Body,Pull,Bodybuilding
Barbell Pendlay Row,Novice,Back,Barbell,1.0,,0.0,Upper Body,Pull,Bodybuilding
Barbell Bench Press,Novice,Chest,Barbell,1.0,Bench (Flat),1.0,Upper Body,Push,Powerlifting
Cable Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Cable,1.0,,0.0,Lower Body,Other,Unsorted*
Cable Hip Rotation,Novice,Glutes,Cable,1.0,,0.0,Lower Body,Other,Unsorted*
Barbell Bicep Curl,Novice,Biceps,Barbell,1.0,,0.0,Upper Body,Pull,Bodybuilding
Barbell Overhead Press,Novice,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Bodybuilding
Barbell Push Press,Novice,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Unsorted*
Barbell Bent Over Row,Novice,Back,Barbell,1.0,,0.0,Upper Body,Pull,Bodybuilding
Single Arm Landmine Meadows Row,Novice,Back,Landmine,1.0,,0.0,Upper Body,Pull,Bodybuilding
Cable Straight Bar Seated Bicep Curl,Novice,Biceps,Cable,1.0,Bench (Flat),1.0,Upper Body,Pull,Bodybuilding
Cable Rope Bench Skull Crusher,Novice,Triceps,Cable,1.0,Bench (Flat),1.0,Upper Body,Push,Bodybuilding
Single Arm Dumbbell Seated Cuban Press,Novice,Shoulders,Dumbbell,1.0,Bench (Flat),1.0,Upper Body,Push & Pull,Unsorted*
Bodyweight Wall Facing Handstand,Novice,Shoulders,Bodyweight,1.0,,0.0,Upper Body,Other,Calisthenics
Parallette Close Grip Push Up,Novice,Triceps,Parallette Bars,1.0,,0.0,Upper Body,Push,Calisthenics
Parallette Wide Push Up,Novice,Chest,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
Barbell Front Raise,Novice,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Bodybuilding
Single Arm Cable Front Raise,Novice,Shoulders,Cable,1.0,,0.0,Upper Body,Push,Bodybuilding
Parallette Side Plank,Intermediate,Abdominals,Parallette Bars,1.0,,0.0,Midsection,Other,Calisthenics
Cable Straight Bar Front Raise,Novice,Shoulders,Cable,1.0,,0.0,Upper Body,Push,Bodybuilding
Barbell Close Grip Bench Press,Novice,Triceps,Barbell,1.0,Bench (Flat),1.0,Upper Body,Push,Bodybuilding
Single Arm Cable Bicep Curl,Novice,Biceps,Cable,1.0,,0.0,Upper Body,Pull,Bodybuilding
Single Arm Cable Shotgun Row,Novice,Back,Cable,1.0,,0.0,Upper Body,Pull,Bodybuilding
Cable Half Kneeling Face Pull,Novice,Shoulders,Cable,1.0,,0.0,Upper Body,Pull,Unsorted*
Stability Ball Double Dumbbell W Raise,Novice,Shoulders,Stability Ball,1.0,Dumbbell,2.0,Upper Body,Pull,Unsorted*
Single Arm Kettlebell Bent Over Row,Novice,Back,Kettlebell,1.0,,0.0,Upper Body,Pull,Bodybuilding
Double Kettlebell Gorilla Row,Novice,Back,Kettlebell,2.0,,0.0,Upper Body,Pull,Bodybuilding
Kettlebell Alternating Halo,Novice,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Pull,Mobility
Single Arm Kettlebell Overhead Press,Novice,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Bodybuilding
Kettlebell Horn Grip Bicep Curl,Novice,Biceps,Kettlebell,1.0,,0.0,Upper Body,Pull,Bodybuilding
Double Dumbbell Prone Row,Novice,Back,Dumbbell,2.0,Bench (Flat),1.0,Upper Body,Pull,Bodybuilding
Double Kettlebell Z Press,Novice,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Double Kettlebell Push Press,Novice,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Barbell Prone Row,Novice,Back,Barbell,1.0,Bench (Flat),1.0,Upper Body,Pull,Bodybuilding
Single Arm Dumbbell Cuban Press,Novice,Shoulders,Dumbbell,1.0,,0.0,Upper Body,Push & Pull,Unsorted*
Single Arm Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Unsorted*
Barbell Incline Bench Press,Novice,Chest,Barbell,1.0,Bench (Incline),1.0,Upper Body,Push,Bodybuilding
Double Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Double Dumbbell Incline Bench Prone Y Raise,Novice,Shoulders,Dumbbell,2.0,Bench (Incline),1.0,Upper Body,Pull,Postural
Suspension Face Pull to Overhead Press,Novice,Shoulders,Suspension Trainer,1.0,,0.0,Upper Body,Push & Pull,Unsorted*
Double Dumbbell Reverse Grip Bench Press,Novice,Chest,Dumbbell,2.0,Bench (Flat),1.0,Upper Body,Push,Bodybuilding
Single Arm Cable Seated Floor Lat Pulldown,Novice,Back,Cable,1.0,,0.0,Upper Body,Pull,Bodybuilding
Double Dumbbell Suitcase Carry,Beginner,Forearms,Dumbbell,2.0,,0.0,Full Body,Other,Unsorted*
Single Arm Resistance Band Half Kneeling Cuban Press,Novice,Shoulders,Resistance Band,1.0,,0.0,Upper Body,Push & Pull,Unsorted*
Double Dumbbell Cuban Press,Novice,Shoulders,Dumbbell,2.0,,0.0,Upper Body,Push & Pull,Unsorted*
Double Kettlebell Pendlay Row,Novice,Back,Kettlebell,2.0,,0.0,Upper Body,Pull,Bodybuilding
Double Kettlebell Half Kneeling Overhead Press,Novice,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Single Arm Kettlebell Push Press,Novice,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Unsorted*
Double Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Unsorted*
Double Dumbbell Glute Bridge Isometric Floor Press,Novice,Chest,Dumbbell,2.0,,0.0,Full Body,Push,Bodybuilding
Double Kettlebell Seesaw Overhead Press,Novice,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Unsorted*
Alternating Double Kettlebell Z Press,Novice,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Bodyweight Burpee,Intermediate,Chest,Bodyweight,1.0,,0.0,Full Body,Push,Unsorted*
Double Dumbbell Devil Press,Advanced,Shoulders,Dumbbell,2.0,,0.0,Full Body,Push,Unsorted*
Alternating Single Arm Dumbbell Devil Press,Advanced,Shoulders,Dumbbell,1.0,,0.0,Full Body,Push,Unsorted*
Double Kettlebell Seesaw Z Press,Novice,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Double Plate Lu Raise,Novice,Shoulders,Weight Plate,2.0,,0.0,Upper Body,Unsorted*,Mobility
Plate Steering Wheel,Novice,Shoulders,Weight Plate,1.0,,0.0,Upper Body,Unsorted*,Unsorted*
Suspension Cuban Press,Novice,Shoulders,Suspension Trainer,1.0,,0.0,Upper Body,Push & Pull,Unsorted*
Barbell Decline Bench Press,Novice,Chest,Barbell,1.0,Bench (Decline),1.0,Upper Body,Push,Bodybuilding
Kettlebell Half Kneeling Alternating Halo,Novice,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Pull,Mobility
Kettlebell Tall Kneeling Alternating Halo,Novice,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Pull,Mobility
Bodyweight Rolling Squat Burpee,Advanced,Chest,Bodyweight,1.0,,0.0,Full Body,Push,Plyometric
Kettlebell Tall Kneeling Alternating Hip to Halo,Novice,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Pull,Mobility
Barbell Seated Overhead Press,Novice,Shoulders,Barbell,1.0,Bench (Flat),1.0,Upper Body,Push,Bodybuilding
Dumbbell Crush Grip Z Press,Novice,Shoulders,Dumbbell,1.0,,0.0,Upper Body,Push,Bodybuilding
Barbell Half Kneeling Overhead Press,Novice,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Bodybuilding
Barbell Tall Kneeling Overhead Press,Novice,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Bodybuilding
Barbell Bodyweight Row,Novice,Back,Barbell,1.0,,1.0,Upper Body,Pull,Calisthenics
Ring Row,Novice,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Slider Single Arm Kettlebell Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Slider Single Arm Kettlebell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
Ring Bulgarian Row,Novice,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Alternating Double Kettlebell Rotational Overhead Press,Novice,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Alternating Double Kettlebell Push Press,Novice,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Unsorted*
Cable Tall Kneeling Face Pull,Novice,Shoulders,Cable,1.0,,0.0,Upper Body,Pull,Unsorted*
Macebell Ballistic Curl,Novice,Biceps,Macebell,1.0,,0.0,Upper Body,Pull,Ballistics
Single Arm Indian Club Outer Heart Shaped Swing,Novice,Shoulders,Indian Club,1.0,,0.0,Upper Body,Unsorted*,Mobility
Single Arm Clubbell Pullover,Novice,Back,Clubbell,1.0,,0.0,Upper Body,Pull,Unsorted*
Double Clubbell Pullover,Novice,Back,Clubbell,2.0,,0.0,Upper Body,Pull,Unsorted*
Clubbell Pullover,Novice,Back,Clubbell,1.0,,0.0,Upper Body,Pull,Unsorted*
Clubbell Front Flag Press,Novice,Shoulders,Clubbell,1.0,,0.0,Upper Body,Push,Unsorted*
Single Arm Indian Club Inner Heart Shaped Swing,Novice,Shoulders,Indian Club,1.0,,0.0,Upper Body,Unsorted*,Mobility
Single Arm Ring Dead Hang,Novice,Back,Gymnastic Rings,1.0,,0.0,Upper Body,Other,Calisthenics
Single Arm Dumbbell Suitcase Deadlift,Novice,Back,Dumbbell,1.0,,0.0,Full Body,Pull,Bodybuilding
Slider Single Arm Kettlebell Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,1.0,Kettlebell,1.0,Lower Body,Push,Bodybuilding
